NumeroPartida,Fecha,Hora,Color,Oponente,Resultado,ECO,Apertura,Victoria,TuELO,ELOOponente,TiempoEntreMovimientos,Movimientos
1,2024-09-15,18:50:22,Blancas,sshoshin,1-0,B01,Scandinavian Defense: Main Line,1,1291,1293,1.373134328358209,68
2,2024-09-15,18:43:14,Negras,josjohbus3,1/2-1/2,D02,Queen's Pawn Game: Symmetrical Variation,0.5,1291,1257,1.0404624277456647,174
3,2024-09-15,18:39:36,Blancas,meldenvar,1/2-1/2,B00,Carr Defense,0.5,1292,1252,1.1891891891891893,38
4,2024-09-15,18:36:59,Negras,cowboy_hands,0-1,A00,Hungarian Opening,1,1287,1258,0.7142857142857143,71
5,2024-09-15,18:33:07,Blancas,bykaralko,1-0,C42,Petrov's Defense: Three Knights Game,1,1281,1299,1.0895522388059702,68
6,2024-09-15,18:28:04,Blancas,pandaspb,1-0,C44,Scotch Game: Lolli Variation,1,1275,1237,2.4383561643835616,74
7,2024-09-15,18:21:55,Negras,Tonkiekong,1-0,C47,Four Knights Game: Italian Variation,0,1281,1280,1.288,126
8,2024-09-14,02:40:57,Blancas,kduece626,0-1,C42,Petrov's Defense: Three Knights Game,0,1287,1311,1.0813953488372092,87
9,2024-09-14,02:34:10,Negras,hakim_ly,0-1,C28,"Vienna Game: Stanley Variation, Three Knights Variation",1,1281,1283,1.7549019607843137,103
10,2024-09-14,02:32:55,Blancas,wlat,1-0,B40,Sicilian Defense: Paulsen-Basman Defense,1,1275,1299,2.3157894736842106,20
11,2024-09-11,12:24:39,Negras,daniaaalghs,1-0,D00,Queen's Pawn Game,0,1281,1264,1.851063829787234,48
12,2024-09-10,20:50:00,Blancas,brunocalopsita,0-1,C47,Four Knights Game,0,1286,1287,0.7291666666666666,97
13,2024-09-10,02:18:36,Negras,SL888,1-0,D04,Queen's Pawn Game: Colle System,0,1293,1249,1.098360655737705,62
14,2024-09-10,02:15:48,Negras,Henmc,0-1,B01,Scandinavian Defense: Valencian Variation,1,1288,1198,1.2173913043478262,47
15,2024-09-10,00:59:51,Blancas,dima_e2e4,1-0,C47,Four Knights Game: Scotch Variation Accepted,1,1282,1333,0.8129496402877698,140
16,2024-09-10,00:54:24,Blancas,prodigytruth,1-0,C47,Four Knights Game: Scotch Variation,1,1277,1189,1.6352941176470588,86
17,2024-09-10,00:52:16,Negras,MacTinCito,0-1,C23,Bishop's Opening,1,1270,1330,4.35,21
18,2024-09-10,00:47:02,Negras,mpaper345,0-1,C20,King's Pawn Game: Leonardis Variation,1,1265,1223,1.4591836734693877,99
19,2024-09-09,15:55:00,Blancas,Tit7819,1-0,B01,Scandinavian Defense: Valencian Variation,1,1258,1279,1.8041237113402062,98
20,2024-09-09,15:50:59,Blancas,oleg778899,0-1,B12,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",0,1266,1174,1.1388888888888888,73
21,2024-09-09,15:46:30,Negras,romanjakub,0-1,C20,King's Pawn Game: Wayward Queen Attack,1,1260,1252,1.7575757575757576,67
22,2024-09-09,14:41:35,Negras,Limovic,0-1,D35,Queen's Gambit Declined: Normal Defense,1,1253,1270,2.2375,81
23,2024-09-09,14:40:17,Blancas,Limovic,1-0,C41,Philidor Defense,1,1245,1276,1.0,32
24,2024-09-09,14:38:41,Negras,zaim_1007,1-0,A00,Grob Opening: Grob Gambit,0,1252,1261,1.0357142857142858,29
25,2024-09-09,14:29:19,Blancas,THEREALWATCHER61,0-1,C25,Vienna Game,0,1259,1226,1.5,55
26,2024-09-09,00:55:34,Blancas,malcinojr,0-1,B23,"Sicilian Defense: Closed, Traditional",0,1265,1314,0.99,101
27,2024-09-08,22:43:54,Blancas,Maxime1994,1/2-1/2,B01,Scandinavian Defense: Mieses-Kotroc Variation,0.5,1268,1146,1.1474358974358974,157
28,2024-09-08,22:29:18,Negras,G_young,0-1,C24,Bishop's Opening: Vienna Hybrid,1,1261,1248,1.3103448275862069,59
29,2024-09-08,17:31:26,Negras,Fishygal,1-0,A25,"English Opening: King's English Variation, Reversed Closed Sicilian",0,1268,1259,1.3157894736842106,58
30,2024-09-08,17:28:04,Blancas,THE_G-O-A-T,1-0,C46,Three Knights Opening,1,1261,1252,1.2264150943396226,54
31,2024-09-06,20:44:16,Negras,mah142002moud,1-0,A00,Clemenz Opening,0,1268,1284,2.272727272727273,78
32,2024-09-06,00:49:41,Blancas,sabugoo,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation",0,1275,1318,0.8589743589743589,79
33,2024-09-05,19:58:52,Negras,Harkyi,1-0,D35,Queen's Gambit Declined: Normal Defense,0,1281,1327,1.4285714285714286,64
34,2024-09-05,19:52:28,Negras,nidzar,0-1,D00,Queen's Pawn Game: Accelerated London System,1,1273,1299,1.5344827586206897,117
35,2024-09-05,19:46:01,Negras,Mainer37,0-1,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",1,1267,1191,1.3984375,129
36,2024-09-05,19:41:56,Blancas,alfiodolcemare,1-0,C47,Four Knights Game: Scotch Variation Accepted,1,1260,1186,0.9504132231404959,122
37,2024-09-05,19:36:41,Blancas,nagazabi,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation,1,1254,1155,1.2260869565217392,116
38,2024-09-05,19:28:34,Blancas,daltonpersie,1-0,C44,Scotch Game: Lolli Variation,1,1246,1221,1.584070796460177,114
39,2024-09-05,19:11:44,Negras,filomena77,1-0,D06,Queen's Gambit Declined: Marshall Defense,0,1256,1201,1.5217391304347827,70
40,2024-09-05,19:06:04,Negras,Shohjahonsher,1-0,A20,English Opening: King's English Variation,0,1264,1308,1.975609756097561,42
41,2024-09-05,19:01:48,Blancas,Shohjahonsher,0-1,C40,King's Pawn Game: Busch-Gass Gambit,0,1272,1303,1.6428571428571428,57
42,2024-09-05,18:59:38,Negras,izzet63,0-1,C46,Three Knights Opening,1,1264,1236,1.0384615384615385,27
43,2024-09-05,18:54:24,Blancas,ilayf,1-0,C46,Three Knights Opening,1,1254,1260,2.5319148936170213,48
44,2024-09-05,15:30:38,Blancas,ggndcGyew,1/2-1/2,C47,Four Knights Game: Scotch Variation Accepted,0.5,1254,1255,1.487603305785124,122
45,2024-09-05,04:01:22,Negras,hotmaildotcom,1-0,D02,Queen's Pawn Game: London System,0,1265,1228,1.7169811320754718,54
46,2024-09-05,03:59:59,Blancas,Casper81,1-0,C41,Philidor Defense,1,1254,1269,0.4444444444444444,28
47,2024-09-05,03:54:28,Negras,sara11336611,0-1,C20,King's Pawn Game: Leonardis Variation,1,1246,1148,1.4591836734693877,99
48,2024-09-05,03:48:23,Negras,myCaramel,0-1,D00,Queen's Pawn Game: Accelerated London System,1,1234,1255,2.418918918918919,75
49,2024-09-05,03:43:08,Blancas,myCaramel,1-0,B33,Sicilian Defense: Open,1,1222,1261,2.0684931506849313,74
50,2024-09-04,16:55:04,Negras,MCGirthy,1-0,D02,Queen's Pawn Game: London System,0,1233,1236,1.087719298245614,58
51,2024-09-03,17:49:51,Negras,mohamedhadid,0-1,C20,King's Pawn Game: Leonardis Variation,1,1225,1133,1.9871794871794872,79
52,2024-09-03,16:00:58,Blancas,Nonde,1-0,C46,Three Knights Opening: Winawer Defense,1,1212,1223,2.144578313253012,84
53,2024-09-02,19:51:31,Blancas,mirtuna,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation",0,1223,1267,0.7615384615384615,131
54,2024-09-02,17:33:26,Blancas,Kaitokid07,1-0,C47,Four Knights Game: Scotch Variation Accepted,1,1209,1231,4.0606060606060606,34
55,2024-09-02,00:02:25,Negras,thokby,1-0,B56,Sicilian Defense: Classical Variation,0,1221,1270,0.9020979020979021,144
56,2024-09-01,02:06:01,Blancas,Santi373,1-0,C41,Philidor Defense,1,1209,1164,1.505050505050505,100
57,2024-09-01,02:00:42,Blancas,luisomar1951,1-0,C25,Vienna Game,1,1194,1199,2.020408163265306,50
58,2024-09-01,01:58:07,Negras,IDontCareForRating,1-0,C30,King's Gambit,0,1209,1210,1.5185185185185186,28
59,2024-09-01,01:17:17,Negras,lucho250461,1-0,C24,Bishop's Opening: Berlin Defense,0,1222,1273,1.6404494382022472,90
60,2024-09-01,01:12:19,Blancas,MalcolmHfx,1-0,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",1,1204,1251,2.457627118644068,60
61,2024-08-31,15:07:08,Blancas,Mr_Qodpin,1-0,B06,Modern Defense,1,1185,1218,1.6451612903225807,32
62,2024-08-31,15:01:13,Blancas,Kgforeman,1-0,C00,French Defense: Queen's Knight,1,1162,1262,2.4029850746268657,68
63,2024-08-30,18:23:37,Negras,Brahimii,1-0,D00,Queen's Pawn Game: Chigorin Variation,0,1184,1119,1.0465116279069768,44
64,2024-08-30,03:44:42,Negras,ivan3802,1-0,D35,Queen's Gambit Declined: Harrwitz Attack,0,1203,1224,1.169811320754717,54
65,2024-08-29,20:36:18,Negras,Tank55,0-1,A00,Van't Kruijs Opening,1,1182,1183,1.267605633802817,72
66,2024-08-29,13:49:20,Blancas,Ashted,1-0,C40,King's Pawn Game: Damiano Defense,1,1157,1195,2.9344262295081966,62
